Domain,Team_Size,Project_Number,Project_Title,Difficulty,Research_Question,Approach_Methodology,Required_Skills,Dataset_Suggestions,Timeline_Summary,Deliverables,Target_Conferences,Expected_Acceptance_Rate,Key_Papers,Potential_Challenges,Why_Publishable
Computer Science,Solo,1,Robust Toxic Comment Classification with Model Interpretability,Intermediate,"How do different transformer-based text classifiers compare in detecting toxic comments, and which interpretability methods best reveal their decision rationale?","Fine-tune lightweight transformer models (e.g., DistilBERT) on toxic comment datasets, compare performance vs. classic ML baselines, and apply SHAP/LIME/attention visualizations to understand what features drive predictions.","Python, PyTorch or TensorFlow, basic NLP (tokenization, embeddings), pandas, matplotlib","Kaggle Toxic Comment Classification Challenge (Jigsaw); Kaggle Civil Comments dataset; Wikipedia Talk Labels toxicity dataset (Google Jigsaw); Stormfront hate speech dataset","1-2: Lit review & setup; 3-4: Data cleaning & EDA; 5-7: Train baselines & transformer; 8-9: Interpretability experiments; 10: Robustness tests; 11-12: Write paper","Trained models, interpretability visualizations, robustness/evaluation plots, 6-8 page paper draft","AAAI Student Abstract and Poster Program; IEEE ICDM UGHS; NeurIPS Workshop on Trustworthy AI; ACL/EMNLP workshop on Online Abuse",35-50%,"BERT (Devlin et al.); Attention is Not Explanation (Serrano & Smith); SHAP (Lundberg & Lee)","Managing class imbalance and label noise; Computational limits on Colab; Making interpretability genuinely insightful",Combines baseline comparison with systematic interpretability and robustness analysis on socially important data
Computer Science,Solo,2,Reward Shaping in Grid-World Reinforcement Learning,Beginner-Intermediate,How do different reward shaping strategies affect learning speed and final performance of RL agents in small grid-world environments?,"Implement tabular Q-learning and small DQN on grid-world/FrozenLake environments, systematically vary reward shaping (sparse vs dense, penalties, intermediate rewards), compare convergence metrics","Python, basic RL concepts (Q-learning), OpenAI Gymnasium, NumPy","OpenAI Gymnasium FrozenLake and GridWorld; Custom grid-worlds via Gym API; MiniGrid environments (optional)","1-2: Review RL basics & setup; 3-4: Implement Q-learning & DQN; 5-7: Design reward schemes & run experiments; 8-9: Analyze learning curves; 10: Sensitivity analysis; 11-12: Write & submit","RL training code, learning curves under different rewards, ablation study, 4-6 page paper","AAAI Student Abstract and Poster Program; IEEE CogMI; NeurIPS/ICML RL workshops",35-45%,"Sutton & Barto Reinforcement Learning textbook; Ng et al. Policy Invariance under Reward Transformations","Ensuring enough runs for statistical significance; Avoiding overfitting to single toy environment",Careful controlled empirical study of reward shaping in replicable framework
Computer Science,Solo,3,Adversarial Robustness of Small Image Classifiers on CIFAR-10,Intermediate-Advanced,"How robust are lightweight CNNs and vision transformers to simple adversarial attacks on CIFAR-10, and what low-cost defenses help most?","Train small CNN and tiny ViT models on CIFAR-10; generate adversarial examples using FGSM/PGD; evaluate defenses like adversarial training, data augmentation, input smoothing","Python, PyTorch/TensorFlow, basic deep learning, GPU use on Colab","CIFAR-10/100; Tiny ImageNet (optional); Fashion-MNIST","1-2: Read adversarial ML basics & implement baseline; 3-4: Train CNN/ViT with clean data; 5-6: Implement FGSM & PGD attacks; 7-8: Add defenses & retrain; 9-10: Compare trade-offs; 11-12: Write & submit","Trained models, attack/defense scripts, robustness tables, adversarial image examples, 6-8 page paper","IEEE ICDM UGHS; NeurIPS Workshop on Robust ML; AAAI Student Abstract",30-45%,"Goodfellow et al. Explaining and Harnessing Adversarial Examples; Madry et al. Towards Deep Learning Models Resistant to Adversarial Attacks","Managing GPU time for adversarial training; Avoiding unfocused experiments",Small-scale robustness benchmark with focus on low-resource practicality
Computer Science,Solo,4,Low-Resource Sentiment Analysis with Data Augmentation,Intermediate,Can simple data augmentation strategies significantly improve sentiment analysis performance for low-resource languages or small labeled datasets?,"Start from small labeled sentiment dataset, apply text augmentation (back-translation, synonym replacement, LLM paraphrasing), evaluate gains across classic ML and transformer models","Python, Hugging Face Transformers, MT/LLM tool APIs, basic statistics","UCI/Kaggle sentiment datasets (IMDB subset); Tweets via Academic API or open corpora; Multilingual Amazon review datasets","1-2: Survey low-resource NLP & augmentation; 3-4: Collect/clean dataset; 5-7: Implement augmentation & train models; 8-9: Analyze performance; 10: Error analysis; 11-12: Write paper","Augmented dataset release (if permitted), scripts, performance tables, 6-8 page paper","EMNLP/ACL Low-Resource NLP workshops; AAAI Student Abstracts; IEEE ICDM UGHS",35-50%,"EDA: Easy Data Augmentation (Wei & Zou); Back-Translation (Sennrich et al.); Unsupervised Data Augmentation (Xie et al.)","Getting reliable multilingual tools on free compute; Ensuring augmentations don't flip labels",Targets active research area with clear empirical comparisons and potential dataset contribution
Computer Science,Solo,5,Energy-Accuracy Trade-offs in Tabular ML Models,Intermediate,How do classical ML models compare to small neural networks on tabular datasets in terms of accuracy vs. computational/energy cost?,"Benchmark XGBoost, Random Forests, small NNs on 2-3 tabular datasets; measure wall-clock time and approximate energy; analyze trade-offs","Python, scikit-learn, XGBoost/LightGBM, Linux/Colab profiling, plotting","UCI Adult income; UCI Heart Disease; Kaggle Home Credit Default Risk","1-2: Review tabular ML & green AI; 3-4: Data prep & baselines; 5-7: Hyperparameter tuning & evaluation; 8-9: Resource measurement; 10: Sensitivity tests; 11-12: Write & submit","Benchmark code, performance vs. cost plots, 4-6 page paper","Data science conferences with student tracks; IEEE ICDM UGHS; AI for Science/efficiency workshops",35-50%,"Do We Need Deep Learning for Tabular Data (Grinsztajn et al.); Green AI (Schwartz et al.)","Designing fair hyperparameter budgets; Getting accurate energy approximations",Practically valuable study on efficient ML aligned with sustainable AI interest
Computer Science,Pair,1,Evaluating Small Language Models as Code Tutors,Intermediate-Advanced,How well do small open-source LLMs provide step-by-step feedback on introductory programming problems compared with retrieval-based systems?,"Build benchmark of intro CS problems, run multiple models to generate hints/feedback, design automatic and rubric-based metrics, compare to retrieval baseline","Python, Hugging Face Transformers, prompt engineering, evaluation metrics, code analysis","HumanEval/MBPP subsets; Open CS1 problem banks; GitHub beginner solutions","Partner A: data/benchmark & metrics; Partner B: modeling & pipelines; both: analysis & writing","Labeled benchmark subset, evaluation scripts, comparative results, 6-8 page paper","NeurIPS/ICML/AAAI AI for Education workshops; AAAI Student Abstracts; IEEE ICDM UGHS",35-45%,"Code Llama (Meta AI); LLMs in education papers","Defining fair automated quality metrics; Avoiding data leakage",Contributes evaluation benchmark and empirical insights on small LLMs for programming education
Computer Science,Pair,2,Multi-Modal Emotion Recognition from Speech and Text,Intermediate,Does combining audio and transcript text significantly improve emotion recognition over single-modality baselines?,"Use pre-trained audio embeddings (wav2vec2) plus text embeddings (BERT) with fusion model; compare to audio-only and text-only baselines","Python, PyTorch, audio processing (Librosa), NLP embeddings, multimodal fusion","IEMOCAP; RAVDESS; CREMA-D","One: audio processing & modeling; Other: text processing & fusion; Both: evaluation & writing","Multimodal models, ablation study, confusion matrices, 6-8 page paper","IEEE EMBS BHI; ICASSP/INTERSPEECH workshops; AAAI/NeurIPS multimodal workshops",35-50%,"Multimodal emotion recognition surveys; wav2vec 2.0; BERT","Managing synchronization between modalities; Limited dataset sizes",Multimodal affective computing with careful baseline comparison
Computer Science,Pair,3,Time-Series Anomaly Detection for Smart Meter Data,Intermediate,Which unsupervised anomaly detection methods work best for identifying unusual energy usage patterns in smart meter data?,"Use public smart meter datasets, implement multiple unsupervised models (autoencoders, isolation forests, seasonal decomposition), evaluate against known/synthetic anomalies","Python, pandas, scikit-learn, autoencoders, time-series analysis","UCI Individual household electric power; UK-DALE; Smart meter datasets on Kaggle","One: classical/statistical methods; Other: deep models; Joint: evaluation & writing","Anomaly detection toolkit, visualization dashboards, 6-8 page paper","Data analytics conferences; IEEE ICDM UGHS; AI for Sustainability/Smart Grid workshops",35-50%,"Anomaly detection in time series surveys; Isolation Forest paper","Lack of ground-truth anomalies; Handling seasonality and holidays",Practically relevant comparative results with reproducible code
Computer Science,Pair,4,Benchmarking Graph Neural Networks on Citation Networks,Intermediate-Advanced,"How do different GNN architectures compare on node classification, and what training tricks matter most?","Use citation graph datasets, implement and train GCN/GAT/GraphSAGE, systematically vary normalization/dropout/depth, report standardized benchmarks","Python, PyTorch Geometric/DGL, graph theory basics","Cora, Citeseer, PubMed; OGB citation benchmarks (ogbn-arxiv)","One: model implementations & hyperparameters; Other: experiments, logging, analysis","Benchmark code, training logs, tables, 6-8 page paper","KDD Graph Learning Benchmarks workshops; NeurIPS GNN workshops; IEEE ICDM UGHS",30-45%,"GCN (Kipf & Welling); GAT (Velickovic et al.); GraphSAGE (Hamilton et al.)","Avoiding overfitting tiny datasets; Designing fair training regimes",Reproducible GNN benchmarks with detailed ablations
Computer Science,Pair,5,Federated Learning Simulation for Image Classification,Advanced,How do different federated learning algorithms perform under varying data heterogeneity conditions?,"Simulate multiple clients with non-iid CIFAR-10/Fashion-MNIST splits, run FedAvg/FedProx/Scaffold, compare convergence and accuracy","Python, PyTorch, distributed training concepts, solid coding","CIFAR-10/Fashion-MNIST; Federated EMNIST","One: FL framework/simulation; Other: experiments & large sweeps; Both: analysis","FL simulation framework, heterogeneity scenario plots, 6-8 page paper","NeurIPS/ICML Federated ML workshops; AAAI Student Abstracts; IEEE CogMI",30-45%,"FedAvg (McMahan et al.); FedProx; Scaffold papers","Managing runtime for many clients on limited GPUs; Designing realistic heterogeneity",Well-documented FL simulation study with clear experiments
